cz,cz_name,state,region,division,pop_2000,top_100,urban,abs_mobility,prob_q1q5,frac_black,frac_commute_under15,hhi_percap,top1inc_share,taxrate,inctax_progressive
4902,Dyersburg,TN,South,East South Central,"92,131",0,rural,36,0.043111529,0.287699,0.442,26597,9.444,0.017,0
4903,Lexington,TN,South,East South Central,"44,884",0,rural,41,0.081659973,0.0572587,0.341,31853,6.22,0.013,0
5000,Tupelo,MS,South,East South Central,"197,774",0,rural,38,0.043573417,0.2405877,0.341,30736,11.467,0.013,0
5100,Corinth,MS,South,East South Central,"129,508",0,rural,39,0.06576325,0.0785048,0.372,28904,12.3,0.013,0
5201,New Albany,MS,South,East South Central,"54,214",0,urban,39,0.054625552,0.1846202,0.299,27596,9.491,0.01,0
5202,Memphis,TN,South,East South Central,"1,154,338",1,urban,34,0.028182739,0.4319281,0.224,37116,17.031,0.021,0
5300,West Memphis,AR,South,West South Central,"138,746",0,urban,35,0.032014072,0.4709757,0.416,25942,8.066,0.015,1
5401,Bowling Green,KY,South,East South Central,"164,944",0,urban,40,0.064267352,0.0718668,0.375,31026,12.093,0.013,0.2
5402,Glasgow,KY,South,East South Central,"92,394",0,rural,42,0.061355766,0.0373942,0.376,27831,12.307,0.012,0.2
5500,Columbia,TN,South,East South Central,"159,374",0,urban,39,0.057019267,0.103643,0.304,32507,8.556,0.018,0
5600,Nashville,TN,South,East South Central,"1,246,338",1,urban,38,0.057263449,0.1527258,0.24,39833,18.995,0.023,0
5700,Tullahoma,TN,South,East South Central,"130,610",0,rural,39,0.061447427,0.0546742,0.37,32903,10.603,0.016,0
5800,Dickson,TN,South,East South Central,"138,212",0,urban,40,0.071536146,0.0624765,0.33,31374,11.897,0.017,0
5900,Clarksville,TN,South,East South Central,"252,059",0,urban,39,0.059968848,0.1788946,0.319,28962,9.751,0.016,0
6000,Huntsville,AL,South,East South Central,"519,583",0,urban,38,0.056676153,0.1743591,0.286,37730,10.571,0.015,0
6100,Gadsden,AL,South,East South Central,"304,068",0,urban,41,0.071056664,0.0637357,0.328,30842,10.908,0.014,0
6200,Florence,AL,South,East South Central,"230,941",0,urban,41,0.071067154,0.0898758,0.33,31581,11.773,0.013,0
6301,McMinnville,TN,South,East South Central,"84,309",0,rural,39,0.057225432,0.021694,0.367,29411,11.163,0.014,0
6302,Cookeville,TN,South,East South Central,"98,362",0,rural,41,0.072028808,0.0113255,0.38,28510,11.752,0.017,0
6401,Chattanooga,TN,South,East South Central,"490,863",0,urban,38,0.057053063,0.1344347,0.256,35728,14.485,0.017,0
6402,Crossville,TN,South,East South Central,"104,194",0,rural,41,0.070844688,0.0104996,0.338,29333,10.83,0.019,0
6501,Ellijay,GA,South,South Atlantic,"43,254",0,rural,41,0.064965196,0.0016877,0.292,31235,7.137,0.018,0
6502,Cleveland,TN,South,East South Central,"203,077",0,urban,39,0.066822976,0.0329185,0.343,30499,9.445,0.017,0
6600,Rome,GA,South,South Atlantic,"418,304",0,urban,37,0.048462134,0.0778142,0.301,31877,16.237,0.025,0
6700,Tampa,FL,South,South Atlantic,"2,395,997",1,urban,39,0.060128428,0.0990765,0.264,42195,15.27,0.022,0
6800,Lakeland,FL,South,South Atlantic,"598,228",1,urban,39,0.052058496,0.1247585,0.289,36102,12.185,0.016,0
6900,Sarasota,FL,South,South Atlantic,"763,795",1,urban,39,0.068315662,0.0581478,0.319,52947,17.696,0.018,0
7000,Miami,FL,South,South Atlantic,"3,955,969",1,urban,41,0.072966084,0.1911066,0.198,38110,18.867,0.027,0
7100,Port St. Lucie,FL,South,South Atlantic,"1,533,306",1,urban,39,0.062430378,0.1286175,0.26,55175,20.816,0.027,0
7200,Cape Coral,FL,South,South Atlantic,"692,265",1,urban,40,0.06019152,0.0563643,0.273,55875,17.022,0.025,0
7300,Palm Bay,FL,South,South Atlantic,"589,177",0,urban,39,0.06588921,0.081826,0.3,45264,14.294,0.02,0
7400,Orlando,FL,South,South Atlantic,"1,697,906",1,urban,39,0.05781661,0.1332771,0.212,38370,14.236,0.026,0
7500,Deltona,FL,South,South Atlantic,"563,598",0,urban,39,0.058778916,0.1003783,0.303,38459,11.814,0.025,0
7600,Jacksonville,FL,South,South Atlantic,"1,176,696",1,urban,38,0.04921316,0.2129964,0.229,38502,13.686,0.021,0
7700,Lake City,FL,South,South Atlantic,"149,695",0,rural,39,0.049539458,0.2055513,0.339,25561,8.857,0.02,0
7800,Ocala,FL,South,South Atlantic,"377,001",0,urban,39,0.056420494,0.0850979,0.273,38731,12.616,0.017,0
7900,Gainesville,FL,South,South Atlantic,"320,199",0,urban,39,0.049674656,0.1747757,0.321,28321,12.516,0.02,0
8000,Sumter,SC,South,South Atlantic,"209,914",0,urban,36,0.034936707,0.4398277,0.33,29459,8.648,0.016,0
8100,Columbia,SC,South,South Atlantic,"722,201",1,urban,36,0.037213266,0.3671388,0.28,34438,11.917,0.018,0
8201,Barnwell,SC,South,South Atlantic,"72,733",0,rural,35,0.035372145,0.5508916,0.349,25544,8.527,0.019,0
8202,Charleston,SC,South,South Atlantic,"587,297",0,urban,38,0.044469237,0.313579,0.269,34601,16.485,0.02,0
8300,Greenville,SC,South,South Atlantic,"894,291",1,urban,37,0.046985749,0.1809076,0.308,35225,12.338,0.014,0
8401,Aiken,GA,South,South Atlantic,"525,842",0,urban,36,0.04104875,0.357035,0.275,33294,9.765,0.02,0
8402,Washington,GA,South,South Atlantic,"35,518",0,urban,35,0.031144781,0.4238696,0.341,35155,11.242,0.021,0
8501,Fitzgerald,GA,South,South Atlantic,"27,415",0,rural,37,0.035914704,0.3001277,0.458,27671,7.91,0.019,0
8502,Cordele,GA,South,South Atlantic,"42,098",0,rural,35,0.03304904,0.4342487,0.43,26103,9.602,0.024,0
8503,Valdosta,GA,South,South Atlantic,"241,530",0,urban,36,0.031849012,0.2916284,0.422,27878,11.761,0.02,0
8601,Waycross,GA,South,South Atlantic,"113,122",0,rural,38,0.044591743,0.2323598,0.41,26639,8.311,0.02,0
8602,Brunswick,GA,South,South Atlantic,"93,044",0,urban,36,0.047382671,0.2392524,0.348,36807,12.297,0.027,0
8701,Hinesville,GA,South,South Atlantic,"131,279",0,urban,37,0.048941799,0.3367942,0.413,23378,7.735,0.022,0
8702,Statesboro,GA,South,South Atlantic,"111,346",0,rural,36,0.03888889,0.3250139,0.398,26439,9.041,0.019,0
8800,Savannah,GA,South,South Atlantic,"434,615",0,urban,36,0.040967092,0.3246413,0.297,39851,14.606,0.028,0
8900,Macon,GA,South,South Atlantic,"386,870",0,urban,35,0.032611173,0.3600176,0.294,33836,12.343,0.02,0
9001,Vidalia,GA,South,South Atlantic,"108,438",0,rural,38,0.048065297,0.2602962,0.391,26104,9.534,0.022,0
9002,Milledgeville,GA,South,South Atlantic,"83,808",0,rural,33,0.032226563,0.4402921,0.36,27862,7.55,0.025,0
9003,Dublin,GA,South,South Atlantic,"74,610",0,rural,35,0.032026969,0.3991556,0.343,29575,13.755,0.021,0
9100,Atlanta,GA,South,South Atlantic,"3,798,017",1,urban,36,0.045329735,0.2967886,0.178,44162,17.257,0.028,0
9200,Griffin,GA,South,South Atlantic,"135,136",0,urban,36,0.040281329,0.282508,0.315,30888,10.339,0.02,0
9301,Winder,GA,South,South Atlantic,"212,223",0,urban,35,0.037950665,0.1802161,0.323,30685,11.936,0.026,0
9302,Toccoa,GA,South,South Atlantic,"89,228",0,rural,38,0.041666668,0.1742727,0.407,29484,8.902,0.019,0
9400,Gainesville,GA,South,South Atlantic,"272,150",0,urban,40,0.069715701,0.0582216,0.269,33365,12.858,0.022,0
9500,Talladega,AL,South,East South Central,"148,252",0,rural,38,0.044903226,0.2837061,0.339,29631,7.491,0.011,0
9600,LaGrange,GA,South,South Atlantic,"457,299",0,urban,38,0.052343022,0.1998627,0.294,32720,11.202,0.017,0
9701,Columbus,GA,South,South Atlantic,"303,656",0,urban,35,0.034960333,0.4061438,0.325,31245,12.764,0.018,0
9702,Americus,GA,South,South Atlantic,"65,826",0,urban,35,0.034407429,0.4927536,0.409,27083,13.18,0.02,0
9800,Auburn,AL,South,East South Central,"150,911",0,urban,36,0.034264803,0.3627171,0.38,27283,12.003,0.014,0
9900,Tallahassee,FL,South,South Atlantic,"426,634",0,urban,38,0.047025815,0.2854086,0.275,30838,11.16,0.019,0
10000,Panama City,FL,South,South Atlantic,"172,606",0,urban,39,0.058157489,0.1131768,0.358,32715,12.045,0.022,0
10101,Bainbridge,GA,South,South Atlantic,"43,992",0,rural,37,0.039333332,0.370431,0.39,29034,11.659,0.019,0
10102,Thomasville,GA,South,South Atlantic,"66,396",0,rural,36,0.032886196,0.3550063,0.389,29591,13.908,0.018,0
10200,Albany,GA,South,South Atlantic,"181,765",0,urban,35,0.027632687,0.483597,0.35,30170,10.708,0.023,0
10301,Eufaula,GA,South,South Atlantic,"61,458",0,rural,35,0.022954924,0.5015946,0.388,25284,11.334,0.018,0
10302,Dothan,AL,South,East South Central,"223,605",0,urban,39,0.058282208,0.2125489,0.361,32268,12.707,0.011,0
10400,Meridian,MS,South,East South Central,"157,091",0,rural,37,0.046772875,0.3442973,0.333,29016,9.726,0.014,0
10501,Columbus,MS,South,East South Central,"95,083",0,urban,36,0.036027852,0.4528675,0.362,29115,12.123,0.012,0
10502,Starkville,MS,South,East South Central,"105,093",0,rural,37,0.039936103,0.400845,0.437,26131,9.504,0.012,0
10600,Jasper,AL,South,East South Central,"161,169",0,urban,42,0.08658836,0.059844,0.32,28445,9.24,0.01,0
10700,Birmingham,AL,South,East South Central,"1,038,182",1,urban,38,0.050431833,0.2705701,0.22,38196,16.063,0.02,0
10801,Tuscaloosa,AL,South,East South Central,"261,112",0,urban,37,0.040322579,0.3831728,0.343,30158,14.755,0.013,0
10802,Demopolis,AL,South,East South Central,"63,233",0,rural,37,0.042383045,0.5890595,0.337,27364,9.592,0.01,0
10900,Pensacola,FL,South,South Atlantic,"623,252",1,urban,40,0.061206341,0.1371516,0.309,34256,13.671,0.016,0
11001,Mobile,AL,South,East South Central,"599,405",1,urban,38,0.051398002,0.2892218,0.267,33321,13.029,0.018,0
11002,Atmore,AL,South,East South Central,"76,853",0,rural,39,0.04778761,0.3587759,0.39,27015,11.466,0.01,0
11101,Montgomery,AL,South,East South Central,"367,927",0,urban,36,0.033037372,0.4011421,0.278,33533,13.411,0.015,0
11102,Troy,AL,South,East South Central,"80,901",0,rural,42,0.067988671,0.2318018,0.409,28445,14.481,0.01,0
11201,Bluefield,VA,South,South Atlantic,"199,334",0,rural,44,0.110749185,0.0368878,0.32,27294,10.178,0.017,0
11202,Welch,WV,South,South Atlantic,"53,037",0,rural,45,0.159914717,0.0640119,0.263,22244,5.447,0.012,2.5
11203,Big Stone Gap,VA,South,South Atlantic,"84,011",0,rural,44,0.103608251,0.0131411,0.317,25086,9.891,0.025,0
11301,Fredericksburg,VA,South,South Atlantic,"241,044",0,urban,42,0.094581284,0.1523456,0.205,41266,7.6,0.023,0
11302,Baltimore,MD,South,South Atlantic,"2,512,431",1,urban,39,0.064007394,0.2754225,0.199,44194,15.564,0.025,1
11303,Colonial Beach,VA,South,South Atlantic,"59,342",0,rural,40,0.065451533,0.3115669,0.31,39561,6.938,0.016,0
11304,Washington DC,DC,South,South Atlantic,"4,632,415",1,urban,43,0.109811738,0.2669657,0.16,53706,16.054,0.037,2.5
11401,Marquette,MI,Midwest,East North Central,"121,919",0,rural,45,0.096565135,0.0132547,0.501,32535,8.571,0.025,0
11402,Marinette,MI,Midwest,East North Central,"114,408",0,rural,46,0.102725364,0.0025872,0.525,34016,6.115,0.026,0
11403,Sault Ste. Marie,MI,Midwest,East North Central,"57,510",0,rural,42,0.099183194,0.0454877,0.539,26896,8.244,0.03,0
11500,Jackson,MI,Midwest,East North Central,"303,839",0,urban,40,0.063088782,0.0481373,0.356,36188,8.529,0.022,0
11600,Detroit,MI,Midwest,East North Central,"5,327,827",1,urban,37,0.054592762,0.2136385,0.243,44745,14.548,0.029,0
11700,Lansing,MI,Midwest,East North Central,"447,728",0,urban,40,0.064116739,0.0793115,0.356,37719,10.217,0.029,0
11800,Mount Pleasant,MI,Midwest,East North Central,"136,888",0,rural,42,0.064615384,0.0209295,0.467,27945,8.002,0.025,0
11900,Saginaw,MI,Midwest,East North Central,"540,707",0,urban,41,0.064408086,0.0774874,0.376,36938,8.79,0.026,0
12001,Big Rapids,MI,Midwest,East North Central,"120,045",0,rural,42,0.074307919,0.0238411,0.407,30109,7.829,0.029,0
12002,Ludington,MI,Midwest,East North Central,"52,801",0,rural,42,0.076073617,0.0111362,0.493,33400,9.758,0.035,0
12100,Kalamazoo,MI,Midwest,East North Central,"509,606",0,urban,38,0.052623134,0.0823303,0.36,36931,10.894,0.025,0
12200,Grand Rapids,MI,Midwest,East North Central,"1,286,045",1,urban,40,0.063729167,0.0640125,0.344,37483,12.659,0.026,0
12301,Traverse City,MI,Midwest,East North Central,"154,452",0,rural,42,0.074248672,0.0029977,0.356,39703,13.983,0.034,0
12302,Petoskey,MI,Midwest,East North Central,"83,975",0,rural,42,0.076555021,0.0029294,0.428,37711,21.387,0.038,0
12401,Alpena,MI,Midwest,East North Central,"84,783",0,rural,42,0.078644067,0.0027718,0.472,34474,7.544,0.028,0
12402,Grayling charter,MI,Midwest,East North Central,"104,421",0,rural,42,0.074889868,0.0038019,0.457,34360,13.319,0.034,0
12501,Dayton,OH,Midwest,East North Central,"1,179,009",1,urban,38,0.048814505,0.1164486,0.341,39002,10.176,0.025,2.66
12502,Washington Court House,OH,Midwest,East North Central,"109,851",0,rural,39,0.053333335,0.0186798,0.345,32903,8.036,0.019,2.66
12600,Wayne,IN,Midwest,East North Central,"104,034",0,urban,37,0.053981107,0.0388238,0.464,34115,10.525,0.022,0
12701,Cincinnati,OH,Midwest,East North Central,"1,954,800",1,urban,38,0.051211949,0.1174468,0.258,42063,13.814,0.024,2.66
12702,Maysville,KY,South,East South Central,"52,963",0,urban,40,0.05284553,0.027793,0.322,27372,8.344,0.013,0.2
12800,Washington,IN,Midwest,East North Central,"134,026",0,urban,43,0.106587715,0.0027234,0.314,35835,8.426,0.016,0
12901,Lexington-Fayette,KY,South,East South Central,"525,970",0,urban,37,0.053744998,0.0904804,0.345,36577,13.3,0.019,0.2
12902,Mount Sterling,KY,South,East South Central,"40,195",0,rural,39,0.062291436,0.0261227,0.323,28067,12.55,0.01,0.2
12903,Danville,KY,South,East South Central,"86,667",0,rural,40,0.072749689,0.0514152,0.353,30746,7.263,0.012,0.2
13000,Elizabethtown,KY,South,East South Central,"176,597",0,urban,42,0.081598945,0.0744407,0.338,29945,8.532,0.011,0.2
13101,Louisville,KY,South,East South Central,"1,100,767",1,urban,38,0.051995486,0.1320307,0.261,39192,13.684,0.019,0.2
13102,Madison,IN,Midwest,East North Central,"49,985",0,urban,41,0.093827158,0.013464,0.411,31205,6.725,0.018,0
13103,Bardstown,KY,South,East South Central,"66,605",0,rural,44,0.076216713,0.0678778,0.373,30726,12.494,0.011,0.2
13200,Owensboro,KY,South,East South Central,"177,640",0,urban,43,0.092302568,0.0325208,0.387,31538,9.513,0.013,0.2
13300,Findlay,OH,Midwest,East North Central,"246,623",0,rural,44,0.07361456,0.0147756,0.457,34869,8.274,0.02,2.66
13400,Lima,OH,Midwest,East North Central,"260,393",0,urban,45,0.069481768,0.0520175,0.445,35092,9.453,0.02,2.66
13501,Toledo,OH,Midwest,East North Central,"834,343",1,urban,39,0.057480805,0.0973125,0.345,38616,10.884,0.029,2.66
13502,Defiance,OH,Midwest,East North Central,"98,981",0,rural,44,0.081473216,0.0113456,0.437,35188,11.039,0.02,2.66
13600,South Bend,IN,Midwest,East North Central,"657,906",1,urban,39,0.060134567,0.1066383,0.385,36189,11.211,0.02,0
13700,Concord,IN,Midwest,East North Central,"372,184",0,urban,42,0.073400989,0.0332389,0.405,35487,15.141,0.021,0
13800,Wayne,IN,Midwest,East North Central,"129,528",0,rural,43,0.09151414,0.0055664,0.439,35790,15.072,0.021,0
13900,Center,IN,Midwest,East North Central,"192,308",0,urban,40,0.066135086,0.0376271,0.451,37701,8.196,0.02,0
14000,Muncie,IN,Midwest,East North Central,"415,487",0,urban,38,0.05317324,0.0579176,0.417,34884,10.075,0.019,0
14100,Fort Wayne,IN,Midwest,East North Central,"557,161",0,urban,41,0.065946564,0.067537,0.352,38529,13.303,0.018,0
14200,Indianapolis,IN,Midwest,East North Central,"1,507,346",1,urban,37,0.049006324,0.1408303,0.262,42510,13.844,0.023,0
14300,Columbus,IN,Midwest,East North Central,"163,284",0,urban,40,0.07468643,0.0104909,0.404,35466,12.38,0.02,0
14400,Terre Haute,IN,Midwest,East North Central,"261,832",0,urban,42,0.082625255,0.0346978,0.391,31382,8.691,0.02,0
14500,Lafayette,IN,Midwest,East North Central,"347,966",0,urban,43,0.090833567,0.0364461,0.429,32345,8.583,0.02,0
14600,Bloomington,IN,Midwest,East North Central,"280,923",0,urban,41,0.087185852,0.0144986,0.397,30525,10.999,0.018,0
14700,Evansville,IN,Midwest,East North Central,"388,604",0,urban,44,0.079238921,0.0408462,0.366,36908,13.881,0.021,0
14801,Olney,IL,Midwest,East North Central,"55,642",0,rural,47,0.116939887,0.0019949,0.486,31875,8.23,0.013,0
14802,Vincennes,IN,Midwest,East North Central,"54,708",0,rural,45,0.109839819,0.0154274,0.488,30101,8.491,0.014,0
14900,Gary,IN,Midwest,East North Central,"675,971",1,urban,41,0.081390135,0.1816823,0.277,38097,10.709,0.024,0
15000,Canton,OH,Midwest,East North Central,"700,866",1,urban,42,0.064910851,0.043422,0.378,35700,11.019,0.021,2.66
15100,Lorain,OH,Midwest,East North Central,"423,702",0,urban,40,0.056600116,0.0725557,0.362,38660,8.711,0.025,2.66
15200,Cleveland,OH,Midwest,East North Central,"2,661,167",1,urban,38,0.050859265,0.1749033,0.268,42208,13.743,0.031,2.66
15300,Parkersburg,WV,South,South Atlantic,"202,967",0,urban,42,0.070894405,0.0075283,0.346,32372,7.579,0.017,2.5
15400,Zanesville,OH,Midwest,East North Central,"188,410",0,urban,41,0.06840761,0.029197,0.346,30313,8.705,0.019,2.66
15500,Steubenville,OH,Midwest,East North Central,"132,008",0,urban,41,0.072718151,0.0390431,0.378,32010,9.312,0.02,2.66
15600,Wheeling,WV,South,South Atlantic,"195,637",0,urban,45,0.125404015,0.0226593,0.343,31111,10.613,0.017,2.5
15700,Scioto,OH,Midwest,East North Central,"225,682",0,rural,38,0.064859003,0.0317172,0.322,28949,9.722,0.019,2.66
15800,Athens,OH,Midwest,East North Central,"142,321",0,rural,40,0.074712642,0.0181913,0.359,24643,7.157,0.024,2.66
15900,Columbus,OH,Midwest,East North Central,"1,663,807",1,urban,38,0.049094066,0.1239633,0.271,40286,14.001,0.029,2.66
16000,Mansfield,OH,Midwest,East North Central,"326,186",0,urban,40,0.064460784,0.0510108,0.403,33186,7.903,0.022,2.66
16100,State College,PA,Northeast,Mid-Atlantic,"310,658",0,urban,48,0.113127649,0.0228161,0.397,28923,8.759,0.02,0
16200,Altoona,PA,Northeast,Mid-Atlantic,"411,749",0,urban,47,0.102376908,0.0173747,0.391,30392,9.835,0.018,0
16300,Pittsburgh,PA,Northeast,Mid-Atlantic,"2,561,364",1,urban,45,0.09514869,0.0752677,0.287,38686,13.848,0.025,0
16400,Youngstown,OH,Midwest,East North Central,"809,682",1,urban,41,0.066974595,0.086445,0.374,34808,10.241,0.019,2.66
16500,Erie,PA,Northeast,Mid-Atlantic,"659,098",1,urban,44,0.075166807,0.0337765,0.427,31989,10.49,0.024,0
16600,Roanoke,VA,South,South Atlantic,"468,038",0,urban,40,0.064016424,0.0910396,0.334,34411,9.212,0.022,0
16701,Elkins,WV,South,South Atlantic,"60,271",0,rural,45,0.10579937,0.0074331,0.388,26302,8.336,0.009,2.5
16702,Morgantown,WV,South,South Atlantic,"259,942",0,urban,44,0.104958467,0.0226551,0.336,28593,9.565,0.015,2.5
16703,Buckhannon,WV,South,South Atlantic,"40,323",0,rural,47,0.126410842,0.004092,0.377,25062,7.553,0.014,2.5
16801,Beckley,WV,South,South Atlantic,"174,251",0,urban,43,0.106445029,0.0613311,0.33,28131,11.535,0.012,2.5
16802,Summersville,WV,South,South Atlantic,"58,143",0,rural,46,0.128528967,0.003027,0.329,25662,13.73,0.012,2.5
16901,Charleston,WV,South,South Atlantic,"347,345",0,urban,42,0.097229391,0.0440801,0.28,34109,12.717,0.016,2.5
16902,Spencer,WV,South,South Atlantic,"23,028",0,rural,47,0.146567717,0.001737,0.268,23337,6.941,0.011,2.5
17000,Pikeville,KY,South,East South Central,"204,354",0,rural,43,0.137840375,0.0078296,0.295,23076,10.775,0.011,0.2
17100,Huntington,KY,South,East South Central,"344,380",0,urban,40,0.068505749,0.0211336,0.343,29101,11.153,0.014,0.2
17200,Harrisonburg,VA,South,South Atlantic,"174,641",0,urban,44,0.093889713,0.0240551,0.378,31025,11.826,0.018,0
17300,Staunton,VA,South,South Atlantic,"188,559",0,urban,42,0.068016194,0.071288,0.344,34674,7.971,0.02,0
17400,Hagerstown,PA,Northeast,Mid-Atlantic,"408,535",0,urban,43,0.087094583,0.0471906,0.298,34829,8.689,0.016,0
17501,Cumberland,MD,South,South Atlantic,"155,822",0,urban,44,0.096905537,0.032627,0.373,29147,13.041,0.018,1
17502,Winchester,VA,South,South Atlantic,"115,649",0,urban,42,0.097297296,0.0432689,0.301,36887,10.978,0.02,0
17600,Charlottesville,VA,South,South Atlantic,"273,489",0,urban,39,0.061382599,0.1641565,0.282,37999,12.275,0.022,0
17700,Syracuse,NY,Northeast,Mid-Atlantic,"1,080,612",1,urban,42,0.076672107,0.0556379,0.378,35778,10.819,0.036,0
17800,Oneonta,NY,Northeast,Mid-Atlantic,"161,132",0,rural,45,0.092883892,0.0120771,0.405,31398,7.377,0.037,0
17900,Union,NY,Northeast,Mid-Atlantic,"294,558",0,urban,44,0.088044025,0.0225524,0.363,35192,8.997,0.031,0
18000,Buffalo,NY,Northeast,Mid-Atlantic,"2,369,699",1,urban,42,0.066782549,0.1042086,0.333,38618,10.989,0.037,0
18100,Elmira,NY,Northeast,Mid-Atlantic,"346,894",0,urban,44,0.093692213,0.0296748,0.411,32548,10.805,0.033,0
18201,Olean,NY,Northeast,Mid-Atlantic,"197,898",0,rural,45,0.080133051,0.0104549,0.455,29823,10.119,0.032,0
18202,St. Marys,PA,Northeast,Mid-Atlantic,"41,086",0,rural,48,0.162983432,0.0016551,0.53,34878,10.488,0.02,0
18300,Watertown,NY,Northeast,Mid-Atlantic,"250,613",0,urban,45,0.101180442,0.035465,0.471,27436,6.815,0.035,0
18400,Plattsburgh,NY,Northeast,Mid-Atlantic,"169,879",0,rural,44,0.085456684,0.0406113,0.47,28561,6.947,0.041,0
18500,Amsterdam,NY,Northeast,Mid-Atlantic,"110,160",0,rural,43,0.082840234,0.0128722,0.416,32624,7.015,0.038,0
18600,Albany,NY,Northeast,Mid-Atlantic,"1,061,509",1,urban,43,0.083333336,0.0548041,0.317,40298,10.807,0.034,0
18700,Sunbury,PA,Northeast,Mid-Atlantic,"191,962",0,urban,48,0.111366771,0.0234786,0.396,30863,9.138,0.017,0
18800,Scranton,PA,Northeast,Mid-Atlantic,"857,487",1,urban,46,0.107453175,0.0216272,0.351,35125,12.428,0.023,0
18900,Williamsport,PA,Northeast,Mid-Atlantic,"227,275",0,urban,47,0.10162095,0.0251633,0.414,31689,10.051,0.021,0
19000,Allentown,PA,Northeast,Mid-Atlantic,"637,958",1,urban,45,0.082631499,0.0266742,0.329,39894,12.055,0.023,0
19100,Reading,PA,Northeast,Mid-Atlantic,"1,114,959",1,urban,46,0.096309543,0.0257068,0.344,38217,10.983,0.021,0
19200,Harrisburg,PA,Northeast,Mid-Atlantic,"1,051,424",1,urban,44,0.079268292,0.0586776,0.314,38699,11.141,0.021,0
19300,Poughkeepsie,NY,Northeast,Mid-Atlantic,"873,232",1,urban,43,0.094835781,0.0750854,0.301,39707,9.621,0.039,0
19400,New York,NY,Northeast,Mid-Atlantic,"11,781,395",1,urban,44,0.105000839,0.1962365,0.156,45509,29.143,0.035,0
19500,Toms River,NJ,Northeast,Mid-Atlantic,"1,126,217",1,urban,45,0.122297861,0.0552078,0.263,54036,15.42,0.031,7.22
19600,Newark,NJ,Northeast,Mid-Atlantic,"5,822,286",1,urban,44,0.10242597,0.1384369,0.234,51373,19.205,0.031,7.22
19700,Philadelphia,PA,Northeast,Mid-Atlantic,"5,602,247",1,urban,41,0.074011669,0.1934895,0.246,43746,15.29,0.029,0
19800,Wilmington,DE,South,South Atlantic,"586,216",0,urban,38,0.065723926,0.1756503,0.251,44620,13.844,0.013,0.75
19901,Dover,DE,South,South Atlantic,"439,269",0,urban,39,0.062596008,0.1961827,0.358,36398,9.882,0.017,0.75
19902,Easton,MD,South,South Atlantic,"154,018",0,urban,40,0.062635928,0.1625849,0.32,43805,14.508,0.019,1
19903,Chincoteague,VA,South,South Atlantic,"51,398",0,rural,38,0.044514105,0.3432235,0.393,31562,11.521,0.02,0
20001,Bangor,ME,Northeast,New England,"289,843",0,urban,42,0.080909684,0.0033915,0.403,32900,8.898,0.027,0
20002,Calais,ME,Northeast,New England,"33,941",0,rural,39,0.068027213,0.0023276,0.493,26505,6.18,0.024,0
20003,Presque Isle,ME,Northeast,New England,"73,938",0,rural,44,0.085585587,0.0036382,0.512,27952,7.492,0.023,0
20100,Portland,ME,Northeast,New England,"690,459",1,urban,43,0.080598019,0.0063103,0.363,37252,13.348,0.027,0
20200,Burlington,VT,Northeast,New England,"321,496",0,urban,44,0.093187854,0.0058352,0.366,37131,11.589,0.03,5.9
20301,Berlin,VT,Northeast,New England,"95,549",0,rural,45,0.083530806,0.0022711,0.433,31204,10.699,0.032,5.9
20302,Claremont,VT,Northeast,New England,"265,884",0,rural,44,0.078877002,0.003825,0.383,38571,11.609,0.037,5.9
20401,Providence,RI,Northeast,New England,"1,582,997",1,urban,43,0.08209534,0.0326659,0.328,39543,13.552,0.025,6.15
20402,Nantucket,MA,Northeast,New England,"9,520",0,rural,,0.081081077,0.0822479,0.818,49651,,0.07,0
20403,Oak Bluffs,MA,Northeast,New England,"14,987",0,rural,43,0.067669176,0.0230867,0.576,48059,10.469,0.054,0
20500,Boston,MA,Northeast,New England,"4,974,945",1,urban,45,0.104849979,0.0537642,0.251,49445,21.448,0.023,0
20600,Manchester,NH,Northeast,New England,"1,193,391",1,urban,44,0.100151747,0.0069617,0.301,43530,12.697,0.034,0
20700,Keene,NH,Northeast,New England,"118,041",0,rural,43,0.090111643,0.003897,0.407,37048,24.837,0.042,0
20800,Springfield,MA,Northeast,New England,"680,014",1,urban,41,0.068050474,0.0549518,0.342,36671,10.672,0.018,0
20901,Bridgeport,CT,Northeast,New England,"3,405,565",1,urban,42,0.078617893,0.0867906,0.308,53281,21.68,0.026,0
20902,Pittsfield,MA,Northeast,New England,"171,947",0,urban,43,0.086519115,0.015813,0.479,41091,13.776,0.022,0
21001,Ashland,WI,Midwest,East North Central,"47,701",0,rural,46,0.091032609,0.0014884,0.533,32218,7.108,0.027,0.25
21002,Houghton,MI,Midwest,East North Central,"47,063",0,rural,47,0.102272727,0.0179547,0.55,26975,12.232,0.02,0
21003,Ironwood,MI,Midwest,East North Central,"32,049",0,rural,46,0.121387281,0.0095167,0.554,32111,6.552,0.025,0
21004,Rhinelander,WI,Midwest,East North Central,"67,833",0,rural,46,0.106280193,0.0040393,0.509,37115,10.478,0.038,0.25
21101,Rice Lake,WI,Midwest,East North Central,"92,542",0,rural,47,0.101526208,0.0022476,0.499,33974,14.031,0.028,0.25
21102,Amery,WI,Midwest,East North Central,"56,993",0,rural,47,0.128550068,0.0019301,0.356,36392,7.72,0.026,0.25
