cz,cz_name,state,region,division,pop_2000,top_100,urban,abs_mobility,prob_q1q5,frac_black,frac_commute_under15,hhi_percap,top1inc_share,taxrate,inctax_progressive
34603,Casper,WY,West,Mountain,"78,585",0,urban,50,0.1662689,0.006248,0.528,34840,15.007,0.021,0
34604,Lusk,WY,West,Mountain,"2,407",0,rural,,,0.0012464,0.72,30783,,0.036,0
34701,Honolulu,HI,West,Pacific,"876,156",1,urban,45,0.105292603,0.022351,0.235,39404,9.084,0.015,1.05
34702,Kapaa,HI,West,Pacific,"58,463",0,rural,44,0.099307157,0.0027881,0.37,38210,5.7,0.021,1.05
34703,Kahului,HI,West,Pacific,"128,241",0,urban,42,0.084893882,0.0037508,0.384,39556,9.414,0.021,1.05
34801,Las Vegas,NM,West,Mountain,"49,495",0,rural,42,0.085848421,0.0046671,0.537,26569,7.039,0.017,0
34802,Santa Fe,NM,West,Mountain,"218,804",0,urban,40,0.080323316,0.004095,0.371,38838,11.007,0.013,0
34803,Tucumcari,NM,West,Mountain,"10,965",0,rural,44,0.073033705,0.0073871,0.689,30332,9.005,0.014,0
34804,Clayton,NM,West,Mountain,"4,174",0,rural,,0.12230216,0,0.625,30305,,0.013,0
34805,Alamosa,CO,West,Mountain,"46,190",0,rural,45,0.098867923,0.0032258,0.552,27094,9.743,0.031,0
34901,Albuquerque,NM,West,Mountain,"755,244",1,urban,39,0.065984614,0.0215864,0.273,35591,9.867,0.014,0
34902,Socorro,NM,West,Mountain,"21,621",0,rural,41,0.052117262,0.0046251,0.565,24360,7.177,0.01,0
35001,Phoenix,AZ,West,Mountain,"3,303,211",1,urban,40,0.075277291,0.034316,0.242,40624,16.807,0.024,1.66
35002,Safford,AZ,West,Mountain,"42,036",0,rural,45,0.110591903,0.0151299,0.53,23579,6.422,0.022,1.66
35100,Tucson,AZ,West,Mountain,"999,882",1,urban,40,0.070549995,0.0291874,0.291,35571,12.39,0.024,1.66
35201,Grand Junction,CO,West,Mountain,"187,857",0,urban,47,0.146367148,0.0036517,0.465,35421,10.695,0.027,0
35202,Gunnison,CO,West,Mountain,"14,746",0,rural,50,0.10619469,0.0037298,0.644,32805,12.096,0.054,0
35300,Farmington,NM,West,Mountain,"168,198",0,urban,42,0.091447525,0.0034483,0.388,30450,10.796,0.028,0
35401,Flagstaff,AZ,West,Mountain,"289,883",0,urban,42,0.081450909,0.0060059,0.461,35102,12.415,0.027,1.66
35402,Cortez,CO,West,Mountain,"40,087",0,rural,46,0.126780629,0.0012473,0.502,28799,6.825,0.038,0
35500,Gallup,AZ,West,Mountain,"241,691",0,rural,34,0.041061398,0.0051471,0.468,20837,7.94,0.025,1.66
35600,Hilo,HI,West,Pacific,"148,677",0,rural,40,0.068267584,0.004049,0.346,35010,10.432,0.02,1.05
35701,Twin Falls,ID,West,Mountain,"120,807",0,rural,45,0.087119184,0.0011837,0.505,35364,11.017,0.018,0.4
35702,Burley,ID,West,Mountain,"41,590",0,rural,49,0.113892369,0.0012984,0.536,28357,9.512,0.013,0.4
35801,Boise City,ID,West,Mountain,"493,970",0,urban,43,0.073920421,0.0062858,0.342,35642,12.044,0.016,0.4
35802,Ontario,OR,West,Pacific,"62,170",0,rural,44,0.08448416,0.0064018,0.49,27631,7.832,0.021,0
35803,McCall,ID,West,Mountain,"11,127",0,rural,44,0.124031007,0.0003595,0.561,33157,16.583,0.027,0.4
35901,St. George,UT,West,Mountain,"130,138",0,urban,46,0.108483292,0.0022899,0.575,31383,13.401,0.023,0
35902,Price,UT,West,Mountain,"54,045",0,rural,50,0.137343928,0.0024424,0.577,26759,5.884,0.033,0
35903,Moab,UT,West,Mountain,"8,485",0,rural,46,0.11797753,0.0021214,0.752,31770,4.036,0.029,0
35904,Richfield,UT,West,Mountain,"25,012",0,rural,51,0.128603101,0.0023589,0.633,28605,7.302,0.021,0
35905,Loa,UT,West,Mountain,"2,509",0,rural,,0.209677413,0.0015943,0.628,32242,,0.019,0
36000,Provo,UT,West,Mountain,"389,179",0,urban,49,0.137511998,0.0026312,0.454,29115,19.986,0.021,0
36100,Salt Lake City,UT,West,Mountain,"1,426,729",1,urban,46,0.108327426,0.0099171,0.294,36988,12.569,0.021,0
36200,Logan,UT,West,Mountain,"149,590",0,urban,51,0.13690953,0.002674,0.528,28953,8.962,0.015,0
36301,Pocatello,ID,West,Mountain,"269,722",0,urban,46,0.092508666,0.0034443,0.517,30119,7.878,0.016,0.4
36302,Salmon,ID,West,Mountain,"12,148",0,rural,48,0.154929578,0.0006585,0.582,30782,6.123,0.013,0.4
36303,Jackson,WY,West,Mountain,"24,250",0,rural,50,0.113924049,0.0012784,0.488,53838,64.788,0.038,0
36401,Steamboat Springs,CO,West,Mountain,"38,860",0,rural,52,0.158904105,0.0013124,0.549,39506,9.631,0.067,0
36402,Vernal,UT,West,Mountain,"39,595",0,rural,57,0.253378391,0.0011113,0.557,26254,5.914,0.038,0
36403,Soda Springs,ID,West,Mountain,"13,715",0,rural,54,0.17699115,0.0006562,0.575,29943,4.487,0.021,0.4
36404,Rock Springs,WY,West,Mountain,"80,730",0,rural,53,0.205394194,0.0039391,0.545,33999,6.384,0.053,0
36501,Klamath Falls,CA,West,Pacific,"151,353",0,rural,43,0.085617594,0.0261178,0.528,29858,6.928,0.022,6.3
36502,Burns,OR,West,Pacific,"7,609",0,rural,44,0.139393941,0.0011828,0.73,30896,2.673,0.038,0
36503,Lakeview,OR,West,Pacific,"7,422",0,rural,48,0.109826587,0.0010779,0.692,31635,9.273,0.025,0
36600,Redding,CA,West,Pacific,"219,295",0,urban,42,0.088071346,0.0066486,0.424,33442,9.24,0.019,6.3
36700,Eureka,CA,West,Pacific,"139,540",0,rural,39,0.07579273,0.0078042,0.497,30456,8.783,0.018,6.3
36800,Medford,OR,West,Pacific,"256,995",0,urban,41,0.071968012,0.0033697,0.429,36289,10.847,0.024,0
36901,Crescent City,CA,West,Pacific,"48,644",0,rural,40,0.08342246,0.0246279,0.626,29532,8.285,0.017,6.3
36902,Roseburg,OR,West,Pacific,"163,178",0,rural,41,0.081977881,0.0020468,0.462,32479,8.286,0.029,0
37000,Modesto,CA,West,Pacific,"729,182",1,urban,42,0.093628272,0.0266888,0.372,31666,12.051,0.019,6.3
37100,Bakersfield,CA,West,Pacific,"661,645",1,urban,45,0.121619716,0.0571983,0.362,28781,11.528,0.028,6.3
37200,Fresno,CA,West,Pacific,"1,419,998",1,urban,41,0.074879371,0.0426346,0.351,28267,11.107,0.02,6.3
37300,Chico,CA,West,Pacific,"387,577",0,urban,43,0.094842598,0.0157827,0.442,31471,8.792,0.019,6.3
37400,Sacramento,CA,West,Pacific,"2,570,609",1,urban,43,0.096909009,0.0630189,0.285,39560,12.004,0.02,6.3
37500,San Jose,CA,West,Pacific,"2,393,183",1,urban,45,0.129325882,0.0255705,0.244,52004,26.38,0.023,6.3
37601,Elko,NV,West,Mountain,"61,917",0,rural,47,0.160294116,0.0103849,0.513,32701,11.854,0.024,0
37602,Winnemucca,NV,West,Mountain,"22,799",0,rural,47,0.16955018,0.0190359,0.496,31976,6.081,0.031,0
37603,Portola,CA,West,Pacific,"24,379",0,rural,45,0.117647059,0.0055786,0.552,36905,10.523,0.03,6.3
37604,Reno,NV,West,Mountain,"453,825",0,urban,41,0.091030493,0.0181325,0.378,41398,16.934,0.02,0
37700,Santa Rosa,CA,West,Pacific,"603,188",1,urban,42,0.099550895,0.0129247,0.349,43636,14.83,0.02,6.3
37800,San Francisco,CA,West,Pacific,"4,642,561",1,urban,44,0.121525869,0.0961999,0.212,54014,23.587,0.023,6.3
37901,Las Vegas,NV,West,Mountain,"1,568,418",1,urban,40,0.080029011,0.078189,0.245,38429,20.8,0.021,0
37902,Reno,NV,West,Mountain,"5,071",0,rural,,0.109756097,0.0463419,0.687,34004,,0.018,0
37903,Mammoth Lakes,CA,West,Pacific,"30,798",0,rural,45,0.115942031,0.0023703,0.64,38537,7.066,0.048,6.3
38000,San Diego,CA,West,Pacific,"2,813,833",1,urban,44,0.104364753,0.0549027,0.247,40913,17.139,0.019,6.3
38100,Yuma,CA,West,Pacific,"302,387",0,urban,44,0.098213226,0.0273954,0.45,26908,9.975,0.023,6.3
38200,Santa Barbara,CA,West,Pacific,"646,028",1,urban,45,0.112940833,0.0203211,0.448,40050,16.672,0.022,6.3
38300,Los Angeles,CA,West,Pacific,"16,393,360",1,urban,43,0.096090205,0.073222,0.225,38902,18.528,0.023,6.3
38401,Lewiston,ID,West,Mountain,"88,546",0,urban,45,0.09020979,0.0019538,0.555,32663,6.848,0.016,0.4
38402,Pullman,WA,West,Pacific,"75,675",0,rural,48,0.142361104,0.0107301,0.557,24766,6.766,0.018,0
38501,Moses Lake,WA,West,Pacific,"91,126",0,rural,45,0.096579477,0.0073854,0.512,29315,6.787,0.018,0
38502,Wenatchee,WA,West,Pacific,"99,219",0,urban,45,0.093546048,0.0017436,0.503,36330,10.772,0.018,0
38601,Spokane,WA,West,Pacific,"608,317",1,urban,43,0.092801489,0.0110403,0.348,34286,10.294,0.018,0
38602,Colville,WA,West,Pacific,"86,890",0,urban,42,0.097524755,0.0023133,0.427,29312,8.849,0.013,0
38700,Longview,WA,West,Pacific,"220,580",0,urban,41,0.09277267,0.0038716,0.448,34298,8.287,0.021,0
38801,Portland,OR,West,Pacific,"1,842,889",1,urban,41,0.093058541,0.0266869,0.258,41718,15.8,0.031,0
38802,The Dalles,OR,West,Pacific,"65,297",0,rural,43,0.104380243,0.0024044,0.53,32881,6.761,0.026,0
